ID ,dataset ,variable ,comparator,Checkvalue
ADQSADAS.AVAL.ACTOT,ADQSADAS,PARAMCD,EQ,ACTOT
ADQSADAS.AVAL.ACITM01-ACITM14,ADQSADAS,PARAMCD,IN,ACITM01;ACITM02;ACITM03;ACITM04;ACITM05;ACITM06;ACITM07;ACITM08;ACITM09;ACITM10;ACITM11;ACITM12;ACITM13;ACITM14
ADQSADAS.DTYPE.ACITM01-ACITM14,ADQSADAS,PARAMCD,NE,ACTOT
ADQSADAS.DTYPE.ACTOT,ADQSADAS,PARAMCD ,EQ,ACTOT
ADQSADAS.QSSEQ.ACITM01-ACITM14,ADQSADAS,PARAMCD,NE ,ACTOT
ADQSADAS.QSSEQ.ACTOT,ADQSADAS,PARAMCD,EQ,ACTOT 
Table_14-3.01.R.1.ADQSADAS,ADQSADAS,PARAMCD,EQ,ACTOT
Table_14-3.01.R.1.ADQSADAS,ADQSADAS,AVISIT,EQ,Week 24
Table_14-3.01.R.1.ADQSADAS,ADQSADAS,EFFFL,EQ,Y
Table_14-3.01.R.1.ADQSADAS,ADQSADAS,ANL01FL,EQ,Y
Table_14-3.01.R.2.ADQSADAS,ADQSADAS,PARAMCD,EQ,ACTOT
Table_14-3.01.R.2.ADQSADAS,ADQSADAS,AVISIT,EQ,Week 24
Table_14-3.01.R.2.ADQSADAS,ADQSADAS,EFFFL,EQ,Y
Table_14-3.01.R.2.ADQSADAS,ADQSADAS,ANL01FL,EQ,Y
Table_14-5.02.R.1.ADAE,ADAE,TRTEMFL ,EQ,Y
Table_14-5.02.R.1.ADAE,ADAE,AESER,EQ,Y 
Table_14-5.02.R.1.ADSL,ADSL,SAFFL,EQ,Y
